"lterid","title","knbid","authors"
"AND","Spatial and temporal distribution and abundance of moths in the Andrews Experimental Forest, 1994 to 2008",NA,"Julia A. Jones"
"AND","Spatial and temporal distribution and abundance of butterflies in the Andrews Experimental Forest, 1994-1996",NA,"Jeffery C. Miller"
"AND","Aquatic insect sampling in Lookout Creek at the H.J. Andrews Experimental Forest, 2001",NA,"Sherri Johnson"
"AND","Headwater Stream Macroinvertebrates of the H.J. Andrews Experimental Forest, Oregon, 2003-2004",NA,"Sherri Johnson"
"AND","Terrestrial Insect Activity Phenology with trap collections at HJ Andrews",NA,"Sherri Johnson"
"AND","Soil Moisture and vegetation cover patterns after logging and burning an old-growth Douglas-fir forest in the Andrews Experimental Forest, 1960-1983",NA,"Al Levno"
"AND","Long-term log decay experiments at the Andrews Experimental Forest, 1985 to 2185",NA,"Mark Harmon"
"AND","Post-logging community structure and biomass accumulation in Watershed 10, Andrews Experimental Forest , 1974 to present",NA,"Tom Spies"
"AND","Species interactions during succession in the western Cascade Range of Oregon, 1990 to present",NA,"Charles Halpern"
"AND","Species interactions during succession in the western Cascade Range of Oregon, 1990 to present",NA,"Charles Halpern"
"AND","Primary succession on Mount St. Helens: long-term permanent plots",NA,"Roger del Moral"
"AND","Mount St. Helens Vegetation Succession",NA,"Roger del Moral"
"AND","Ground-dwelling vertebrates, birds, habitat data on the Willamette National Forest, Oregon (Young Stand Thinning and Diversity Study), 1991-2012",NA,"Joan Hagar, Tom Manning"
"AND","DEMO Wildlife Study: Arboreal Rodents, Small Mammals, Amphibians, and Birds_",NA,"Keith B. Aubry"
"AND","Monitoring small mammal and amphibian abundances on the Willamette National Forest, Oregon (Long-Term Ecosystem Productivity experiment), 1995-1999",NA,"Steven L. Garman"
"NWT","Small mammal disturbance data for Niwot Ridge from 1981/6/30 - 1990/8/23, yearly",NA,"Jim Halfpenny, Hope Humphries"
"BNZ","Eight Mile Lake Research Watershed, Carbon in Permafrost Experimental Heating Research (CiPEHR): Aboveground plant biomass, 2009-2013.","knb-lter-bnz.501.11","Susan Natali, Verity G. Salmon, Edward A.G. Schuur"
"BNZ","Eight Mile Lake Research Watershed, Carbon in Permafrost Experimental Heating and Drying Research (DryPEHR): Aboveground plant biomass, 2011.","knb-lter-bnz.502.9","Marguerite Mauritz, Susan Natali, Verity G. Salmon, Edward A.G. Schuur"
"BNZ","Bonanza Creek Experimental Forest Beetles Per Trap Beginning in 1975 - Kruse_","knb-lter-bnz.504.7","James J Kruse, Richard A Wagner, Diane Wagner"
"BNZ","Bonanza Creek Experimental Forest Beetle Population Counts_",NA,"Richard A. Werner"
"BNZ","Chugach National Forest Beetle Population Counts_",NA,"Richard A. Werner"
"BNZ","Tree regeneration after fire: Effects of burn severity, CPCRW vegetative cover analysis_",NA,"Stuart F. Chapin, Jill Johnstone"
"BNZ","Tree regeneration after fire: Effects of burn severity, Delta vegetative cover analysis_",NA,"F. Stuart Chapin, Jill Johnstone"
"BNZ","Biomass of stream macroinvertebrates and benthic organic material in CPCRW_",NA,"Jeremy Boyd Jones"
"BNZ","Abundance of stream macroinvertebrates and benthic organic material in CPCRW_",NA,"Jeremy Boyd Jones"
"BNZ","Riparian clearing in CPCRW: Macroinvertebrate and CPOM data; 1982 - 1986_",NA,"Jeremy Boyd Jones"
"BNZ","Vegetation and plant community composition for 150 extensive mature black spruce sites in interior Alaska_",NA,"Teresa Nettleton Hollingsworth"
"BNZ","Vegetation Plots of the Bonanza Creek LTER Control Plots: Species Percent Cover (1975 - 2009)_",NA,"F. Stuart Chapin, Teresa Nettleton Hollingsworth, Roger W. Ruess, Keith Van Cleve"
"BNZ","Vegetation Plots of the Bonanza Creek LTER Control Plots: Species Count (1975 - 2004)_",NA,"Leslie A. Viereck, Keith Van Cleve, F. Stuart Chapin, Roger W. Ruess, Teresa Nettleton Hollingsworth"
"BNZ","Vegetation cover: Wickersham fire sites (at the Viereck thaw probe locations), 1977-2004_",NA,"Phyllis C. Adams, Jamie Hollingsworth, Leslie A. Viereck, Nan Werdin-Pfisterer"
"BNZ","Vegetation composition for 84 sites in the Regional Site Network, compilation from previous surveys.",NA,"Roger W. Ruess, Teresa Nettleton Hollingsworth, Jill Johnstone"
"CDR","e001: Long-Term Nitrogen Deposition: Population, Community, and Ecosystem Consequences",NA,"David Tilman"
"CDR","e054: Old-Field Chronosequence:  Plant Productivity",NA,"David Tilman, Johannes Knops"
"CDR","e097: Nitrogen Addition and Dynamics of Recovery from Cessation of N Addition",NA,"David Tilman"
"CDR","e098: Fire X Nitrogen: Interactive Effects in a Prairie-Like Grassland",NA,"David Tilman"
"CDR","e133: Effect of Burning Patterns on Vegetation in the Fish Lake Burn Compartments",NA,"Peter Reich, David Wedin, Sarah Hobbie, Mark Davis"
"CDR","e172: Herbivory by Nitrogen Interactive Effects on Community and Ecosystem Processes and Dynamics",NA,"David Tilman"
"CDR","e244: Natural Enemies, Plant Diversity and Plant Community Composition",NA,"Helene Muller-landau, Linda Kinkel"
"CDR","e244: Natural Enemies, Plant Diversity and Plant Community Composition",NA,"Helene Muller-Landau, Linda Kinkel"
"CDR","e245: The influence of natural enemies on plant community composition and productivity",NA,"Linda Kinkel, Helene Muller-Landau"
"CDR","e245: The influence of natural enemies on plant community composition and productivity",NA,"Linda Kinkel, Helene Muller-Landau"
"CDR","e249: BAC: Biodiversity and Climate",NA,"David Tilman, Jennifer Powers, Joe McFadden"
"CDR","e249: BAC: Biodiversity and Climate",NA,"David Tilman, Jennifer Powers, Joe McFadden"
"CDR","e008: Effect of N Addition on Vegetation with Mammalian Herbivory",NA,"Nancy Huntly, Richard Inouye"
"CDR","e009: Effect of N Addition on Vegetation With Mammalian Herbivory Initially on Disked Ground",NA,"Nancy Huntly, Richard Inouye"
"CDR","e010: Herbivore Effects on a Large, Unmanipulated Area",NA,"Nancy Huntly, Richard Inouye"
"CDR","e025: The Effects of Adding Different Levels of Nitrogen at Different Times During the Growing Season",NA,"Richard Inouye"
"CDR","e026: Traits: Competition and Resource Reduction for Five Grass Species Grown in Monoculture and Competition in Soils with Different Nitrogen Availabilities",NA,"David Wedin, David Tilman"
"CDR","e055: Plant Competition Under Different Nitrogen Levels:A Garden Experiment",NA,"David Tilman"
"CDR","e061: Effect of Bird Predation on Grasshopper and Plant Communties",NA,"Mark Ritchie, David Tilman"
"CDR","e070: Legume Competition Garden",NA,"David Tilman"
"CDR","e079: Distribution of Wetland Plant Species in Relation to the Level of the Water Table",NA,"Martha Phillips, Eville Gorham, Charlotte Bryant"
"CDR","e093: Soil Heterogeneity and Plant Diversity in an Oak Savanna",NA,"David Tilman"
"CDR","e123: The Small Biodiversity Experiment",NA,"David Tilman, David Wedin, Peter Reich, Johannas Knops"
"CDR","e123: The Small Biodiversity Experiment",NA,"David Tilman, David Wedin, Peter Reich, Johannes Knops"
"CDR","e142: Effects of Long Term Fertilization and Oak Canopy Cover on Plant Communities and Ecosystem Processes",NA,"Peter Reich"
"GCE","Visual survey of insect communities on Iva frutescens in summer 2013 and 2014 on Sapelo Island, Georgia",NA,"Wei-Ting Lin"
"GCE","Crab population monitoring: mid-marsh and creek bank abundance based on crab hole counts at GCE marsh, monitoring sites 1-10 (All sampling intervals)",NA,"Steven C. Pennings, Caroline Reddy, Jacob, Shalack, Joel Craig, Sean Sharp, et al."
"GCE","Mollusc population abundance monitoring: mid-marsh and creekbank infaunal and epifaunal mollusc abundance based on collections from GCE marsh, monitoring sites 1-10 (All sampling intervals)",NA,"Steven C. Pennings, Merryl Alber, Jacog Shalack, Caroline Reddy, Sasha Greenspan, Joel Craigh, et al."
"GCE","GCE-LTER Hammock Well Vegetation and Invertebrate Monitoringๆ(All sampling intervals)",NA,"Merryl Alber, Steve Pennings, Caroline Reddy, Aaron Penn, et al."
"GCE","Surface water bacterial abundance at ten Georgia Coastal Ecosystems LTER sampling sites (All sampling intervals)",NA,"Robert E. Hodson, Jen Mou, Ed Sheppard"
"GCE","Experimental plots studies comparing the impact of fertilization and wrack addition on invertebrate abundance and plant cover in Atlantic and Gulf of Mexico salt marshes from April 2009 to September 2010",NA,"Brittany DeLoach McCall, Steve Pennings, Huy Vu, Kazik Wieski, Hongyu Guo, Michael Richardson, Brittany DeLong, Claudia Grimm, Annika Stark"
"GCE","Grasshopper monitoring -- mid-marsh grasshopper abundance and species diversity at eight GCE LTER sampling sites (All sampling intervals)",NA,"Steve Pennings"
"ARC","Number of bacteria in the water column of lakes sampled near Toolik Lake LTER Alaska, throughout summer season, 1992-2000.",NA,"John Hobbie"
"ARC","Weekly biomass and abundance of sweepnet-captured aboveground arthropods at four sites near Toolik Field Station, Alaska, summers 2010-2014",NA,"Ashley Asmum, Laura Gough"
"ARC","Above ground plant biomass in a mesic acidic tussock tundra experimental site from 1982 to 2000 Arctic LTER, Toolik Lake, Alaska.",NA,"Gus Shaver"
"ARC","Zooplankton density for all samples collected from Toolik Lake and lakes near the Toolik Field Station, Arctic LTER 2003 - 2011.",NA,"Christopher Luecke"
"ARC","Plant % cover by species for the ITEX CO2 flux survey plots at Toolik, Alaska; Abisko, Sweden; Svalbard, Norway; Zackenberg, Northeast Greenland; and Barrow, Alaska 2004-2009",NA,"Gaius Shaver"
"ARC","Zooplankton density for lake samples collected near Toolik Lake Arctic LTER in the summer from 1983 to 1992.",NA,"Phaedra Budy, Christopher Leucke, John O'Brien"
"CAP","Desert Fertilization Experiment: investigation of Sonoran desert ecosystem response to atmospheric deposition and experimental nutrient addition, 2006-2016 (632_annuals_composition_2008_6b74c53283820aa68b6b9b2a2421f275.csv)",NA,"Jonathan Allen, Nancy Grimm, Sharon Hall, Jason Kaye"
"CAP","Desert Fertilization Experiment: investigation of Sonoran desert ecosystem response to atmospheric deposition and experimental nutrient addition, 2006-2016 (632_annuals_biomass_fe1d659d8348fab719484719d6a9f44c.csv)",NA,"Jonathan Allen, Nancy Grimm, Sharon Hall, Jason Kaye"
"CAP","Reducing Taste and Odor and Other Algae-Related Problems for Surface Water Supplies in Arid Environments (617_microbial_e387e343c6c18bf06f5443cc4f40dab56623dc55.csv)",NA,"Paul Westerhoff, Milton Sommerfeld"
"CAP","Survey 200 long term study of multiple sites in central Arizona-Phoenix: soils (27_cacti_succ_1_2010.csv; 27_cacti_succ_1.csv)",NA,"Nancy Grimm, Diane Hope, Corinna Gries, Chris Martin, Elizabeth Burns"
"CAP","Survey 200 long term study of multiple sites in central Arizona-Phoenix: soils (27_hedges_1_2010.csv; 27_hedges_1.csv)",NA,"Nancy Grimm, Diane Hope, Corinna Gries, Chris Martin, Elizabeth Burns"
"CAP","Survey 200 long term study of multiple sites in central Arizona-Phoenix: soils (27_insects_1.csv)",NA,"Nancy Grimm, Diane Hope, Corinna Gries, Chris Martin, Elizabeth Burns"
"CAP","Survey 200 long term study of multiple sites in central Arizona-Phoenix: soils ( 27_shrub_perennial_1.csv)",NA,"Nancy Grimm, Diane Hope, Corinna Gries, Chris Martin, Elizabeth Burns"
"CAP","Survey 200 long term study of multiple sites in central Arizona-Phoenix: soils (27_trees_1.csv)",NA,"Nancy Grimm, Diane Hope, Corinna Gries, Chris Martin, Elizabeth Burns"
"CAP","CAP LTER: long-term monitoring of herpetofauna along the Salt River in and near the greater Phoenix metropolitan area, ongoing since 2012",NA,"Heather Bateman, Nancy Grimm"
"CAP","Bird surveys along the Salt River in and near the greater Phoenix metropolitan area: 2012-2013",NA,"Heather Bateman"
"CAP","Sycamore Creek macroinvertebrate collections after flooding event",NA,"Nancy Grimm, Stuart Fisher, Joanne Bessler, et al."
"CAP","Point count bird censusing: long-term monitoring of bird distrubution and diversity in central Arizona-Phoenix: period 2000 to 2011 (34_birds_1.csv)",NA,"Eyal Shochat, Madhusudan Katti, Paige Warren"
"FCE","Standard Lengths and Mean Weights for Prey-base Fishes from Taylor River and Joe Bay Sites, Everglades National Park (FCE), South Florida from January 2000 to April 2004",NA,"Jerry Lorenz"
"FCE","Consumer Stocks:  Fish, Vegetation, and other Non-physical Data from Everglades National Park (FCE), South Florida from February 2000 to April 2005",NA,"Joel Trexler"
"FCE","Consumer Stocks:  Fish Biomass from Everglades National Park (FCE), South Florida from February 2000 to April 2005",NA,"Joel Trexler"
"FCE","Consumer Stocks:  Fish Biomass from Everglades National Park (FCE), South Florida from February 1996 to March 2000",NA,"Joel Trexler"
"FCE","Florida Bay Braun Blanquet, Everglades National Park (FCE), South Florida from September 2000 to Present",NA,"James Fourqurean"
"FCE","Cross Bank Benthic Aboveground biomass, Everglades National Park (FCE), South Florida from 1983 to 2014",NA,"James Fourqurean"
"FCE","Capture data for sharks caught in standardized drumline fishing in Shark Bay, Western Australia, with accompanying abiotic data, from February 2008 to July 2014.",NA,"Michael Heithaus, Jordan Thomson"
"FCE","Mangrove Forest Growth from the Shark River Slough, Everglades National Park (FCE), South Florida from January 1995 to Present",NA,"Robert Twilley, Victor Rivera-Monroy, Edward Castaneda"
"FCE","Bull shark catches, water temperatures, salinities, and dissolved oxygen levels in the Shark River Slough, Everglades National Park (FCE) , from May 2005 to May 2009",NA,"Michael Heithaus, Philip Matich"
"FCE","Large consumer isotope values, Shark River Slough, Everglades National Park (FCE LTER), May 2005 to Present",NA,"Michael Heithaus, Philip Matich, Adam Rosenblatt"
"FCE","Seasonal Electrofishing Data from Rookery Branch and the North, Watson, and Roberts Rivers Everglades National Park (FCE) from November 2004 to Present",NA,"Jennifer Rehage"
"FCE","Minnowtrap Data from Rookery Branch and the North, Watson, and Roberts Rivers National Park (FCE) from November 2004 to April 2008",NA,"Jennifer Rehage"
"HFR","Vegetation Response in Simulated Hurricane Experiment at Harvard Forest since 1990 (hf002-02-experiment.csv)","knb-lter-hfr.2.18","David Foster, Audry Barker Plotkin, Sara Cooper-Ellis, Ann Lezberg"
"HFR","Vegetation Response in Simulated Hurricane Experiment at Harvard Forest since 1990 (hf002-10-recruitment.csv)","knb-lter-hfr.2.18","David Foster, Audry Barker Plotkin, Sara Cooper-Ellis, Ann Lezberg"
"HFR","Chronic Nitrogen Amendment Experiment at Harvard Forest since 1988 (hf008-04-tree.csv)","knb-lter-hfr.8.20","Serita Frey, Scott ollinger, Michelle Day, Richard MacLean, Mary Martin"
"HFR","Barre Woods Soil Warming Experiment at Harvard Forest since 2001 (hf018-08-dendrology.csv)","knb-lter-hfr.18.22","Jerry Melillo, Paul Steudier, Jacqueline Mohan, Joe Blanchard, Frank Bowles"
"HFR","Stand and Community Response to Hemlock Woolly Adelgid in Southern New England since 1995 (hf021-02-shrubs.csv)","knb-lter-hfr.21.17","David Orwig, David Foster"
